"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"1465","KPMG LLP","Accountants","Finance, Insurance & Real Estate","Accountants",71.264367816092,28.735632183908,"#00006BAF","#00006BAF",43500
"26400438","ORRICK HERRINGTON & SUTCLIFFE LLP CALIFORNIA","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",4500
"24575","UNITED TEACHERS LOS ANGELES LOCAL 1021","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",8150
"10754","CALIFORNIA DERMATOLOGY SOCIETY","Health Professionals","Health","Other physician specialists",88.7218045112782,11.2781954887218,"#0000C2AF","#0000C2AF",13300
"40613996","COLLATERAL PROMOTION TRUST","Uncoded","Uncoded","Uncoded",70,30,"#000066AF","#000066AF",40000
"19045","INSURANCE BROKERS & AGENTS OF THE WEST","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",67.991169977925,32.0088300220751,"#000057AF","#000057AF",90600
"18926841","WATSON LAND CO","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",7900
"2446","SPRINT","Telecom Services & Equipment","Communications & Electronics","Telecommunications",71.830985915493,28.169014084507,"#00006BAF","#00006BAF",49700
"18638","DIRECTV GROUP","Cable TV","Communications & Electronics","Satellite TV operators",73.469387755102,26.530612244898,"#000075AF","#000075AF",49000
"365079","TERRA-GEN FINANCE","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",100,0,"#0000FFAF","#0000FFAF",6000
"132","AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",55,45,"#00001AAF","#00001AAF",20000
"541","CENTURYLINK","Telecom Services & Equipment","Communications & Electronics","Telecommunications",88.8888888888889,11.1111111111111,"#0000C2AF","#0000C2AF",9000
"893","EDWARDS LIFESCIENCES","Pharmaceuticals & Health Products","Health","Medical supplies manufacturing & sales",74.6268656716418,25.3731343283582,"#00007AAF","#00007AAF",33500
"1675","MCKESSON CORP","Health Services","Health","Health care services",67.0588235294118,32.9411764705882,"#000057AF","#000057AF",21250
"2142","QC HOLDINGS","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",100,0,"#0000FFAF","#0000FFAF",10000
"22253656","CA VETERINARY MEDICAL ASSOCIATION","Uncoded","Uncoded","Uncoded",64.8148148148148,35.1851851851852,"#000047AF","#000047AF",21600
"11659","DENTISTS INSURANCE CO","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",100,0,"#0000FFAF","#0000FFAF",33700
"19688","ELECTRICAL WORKERS LOCAL 617","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",13000
"20436","SERVICE EMPLOYEES LOCAL 521","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",10500
"1325","INTEL CORP","Computer Equipment & Services","Communications & Electronics","Computer manufacture & services",73.8255033557047,26.1744966442953,"#000075AF","#000075AF",14900
"1025","FORD MOTOR CO","Automotive","Transportation","Auto manufacturers",75.2808988764045,24.7191011235955,"#00007FAF","#00007FAF",44500
"4222","PACIFIC LIFE INSURANCE CO","Insurance","Finance, Insurance & Real Estate","Life insurance",81.3432835820896,18.6567164179104,"#00009EAF","#00009EAF",13400
"9585","CALIFORNIA FINANCIAL SERVICES ASSOCIATION","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",67.1875,32.8125,"#000057AF","#000057AF",32000
