"node_1","node_2","edge"
10796,11026082,5
10819,11026082,3
1084,11026082,5
1087,11026082,2
10893,11026082,2
1091,11026082,2
1,11105,3
10021,11105,3
10041,11105,3
10063,11105,1
10128,11105,2
10149,11105,3
1025,11105,3
1039,11105,2
10395,11105,3
10675006,11105,4
10707,11105,3
10708,11105,3
10710,11105,3
10713,11105,3
10716,11105,3
10717,11105,2
10721,11105,3
10723,11105,3
10725,11105,2
10726,11105,2
10731,11105,3
10734,11105,2
10737,11105,3
10743,11105,3
10749,11105,3
10753,11105,3
10761,11105,3
10764,11105,3
10765,11105,3
10766,11105,3
10769,11105,3
10777,11105,3
10780,11105,3
10782,11105,3
10787,11105,2
10790,11105,3
10792,11105,3
10793,11105,3
10795,11105,3
10819,11105,5
10852,11105,3
1087,11105,1
1091,11105,5
11024517,11105,3
11026082,11105,1
10047,11128,2
10063,11128,5
10131,11128,1
10149,11128,5
1039,11128,5
10395,11128,2
10675006,11128,5
10707,11128,2
10708,11128,5
10710,11128,1
10716,11128,2
10717,11128,5
10721,11128,1
10723,11128,4
10726,11128,5
10731,11128,1
10734,11128,4
10737,11128,2
10753,11128,2
10761,11128,2
10765,11128,3
10775,11128,2
10777,11128,4
10787,11128,2
10790,11128,1
10792,11128,2
10793,11128,2
10795,11128,3
10819,11128,2
1084,11128,3
10852,11128,1
1087,11128,1
11024517,11128,4
11026082,11128,2
11105,11128,2
1,1116,1
10021,1116,2
10041,1116,2
10047,1116,1
10063,1116,3
10129,1116,3
10131,1116,1
10149,1116,3
1025,1116,2
1039,1116,3
10395,1116,3
10450,1116,1
105204,1116,1
10675006,1116,3
10707,1116,4
10708,1116,3
10710,1116,3
10713,1116,2
10716,1116,5
10717,1116,3
10721,1116,3
10723,1116,3
10725,1116,3
10726,1116,3
10731,1116,3
10734,1116,3
10737,1116,3
10743,1116,2
10751,1116,3
10753,1116,3
10761,1116,3
10764,1116,1
10765,1116,2
10769,1116,1
10775,1116,3
10777,1116,4
10780,1116,3
10790,1116,5
10792,1116,5
10793,1116,4
10795,1116,3
10796,1116,2
1084,1116,3
10852,1116,3
1087,1116,3
10893,1116,2
11024517,1116,1
11026082,1116,5
11105,1116,2
11128,1116,3
1,11291,1
10021,11291,3
10047,11291,1
10063,11291,1
10128,11291,2
10149,11291,3
1020,11291,2
1025,11291,3
1039,11291,3
10450,11291,3
10670,11291,1
10707,11291,3
10708,11291,1
10713,11291,2
10716,11291,3
10717,11291,1
10723,11291,3
10726,11291,4
10734,11291,1
10737,11291,1
10743,11291,3
10749,11291,3
10761,11291,1
10764,11291,2
10765,11291,3
10769,11291,2
10777,11291,3
10778,11291,1
10782,11291,2
10790,11291,1
10792,11291,3
10793,11291,3
10795,11291,3
10819,11291,3
1091,11291,3
11105,11291,5
1116,11291,2
10021,113147,1
10128,113147,3
10131,113147,2
1020,113147,3
10723,113147,2
10726,113147,3
10766,113147,2
10787,113147,3
10796,113147,3
10893,113147,1
11026082,113147,1
11128,113147,3
1116,113147,2
1,11335,3
10021,11335,3
10047,11335,2
10063,11335,1
10128,11335,5
10129,11335,1
10131,11335,1
10149,11335,3
1020,11335,2
1025,11335,1
10395,11335,3
10675006,11335,2
10707,11335,1
10708,11335,1
10710,11335,3
10713,11335,3
10716,11335,2
10726,11335,2
10731,11335,3
10734,11335,2
10743,11335,3
10749,11335,2
10761,11335,1
10765,11335,2
10769,11335,1
10777,11335,3
10780,11335,2
10782,11335,1
10787,11335,2
10790,11335,1
10792,11335,2
10793,11335,2
10795,11335,3
10819,11335,5
1091,11335,5
11024517,11335,2
11105,11335,5
1116,11335,2
11291,11335,5
10041,113907,3
10047,113907,3
10063,113907,2
10128,113907,3
10131,113907,3
10149,113907,2
1020,113907,3
1039,113907,4
10395,113907,2
10675006,113907,5
10708,113907,2
10716,113907,2
10717,113907,2
10723,113907,1
10726,113907,2
