"node_1","node_2","edge"
19733,314136,5
31629106,314136,5
22215170,314136,5
290457,314136,4
951542,314136,4
4416,314136,3
19874,314136,2
18824,314136,5
19104,314136,2
19289,314136,5
38564263,314136,3
20472,314136,5
16197305,314136,5
27494,314136,5
133498,314136,5
252646,314136,5
12225620,314136,5
604136,314136,1
22011,314136,5
194847,314136,5
4807,363191,5
229103,363191,5
278389,363191,5
252304,363191,5
13810583,363191,2
100247,363191,5
14103,363191,5
278107,363191,5
22285489,363191,1
85534,363191,5
26355171,363191,1
19733,363191,5
31629106,363191,5
22215170,363191,5
290457,363191,4
951542,363191,1
18824,363191,5
19104,363191,1
19289,363191,5
20103,363191,5
20472,363191,3
20666,363191,3
16197305,363191,5
27494,363191,5
133498,363191,5
252646,363191,5
12225620,363191,5
22011,363191,5
194847,363191,5
314136,363191,5
4807,621600,5
229103,621600,5
278389,621600,5
252304,621600,5
100247,621600,5
14103,621600,5
278107,621600,4
85534,621600,5
26355171,621600,4
19733,621600,5
31629106,621600,5
22215170,621600,5
290457,621600,3
18824,621600,5
20664,621600,3
19104,621600,2
19289,621600,5
20103,621600,5
38565607,621600,5
38564263,621600,5
20472,621600,5
20666,621600,2
16197305,621600,5
22215032,621600,5
27494,621600,5
133498,621600,5
252646,621600,3
12225620,621600,5
22011,621600,5
194847,621600,5
314136,621600,5
363191,621600,5
4807,626924,5
229103,626924,5
278389,626924,5
252304,626924,5
13810583,626924,3
100247,626924,5
14103,626924,5
278107,626924,5
22285489,626924,5
85534,626924,5
19198,626924,1
20131,626924,1
26355171,626924,1
19733,626924,5
31629106,626924,5
22215170,626924,5
290457,626924,2
951542,626924,5
38587183,626924,5
18824,626924,5
20664,626924,5
22145,626924,2
19104,626924,5
19289,626924,5
20644,626924,2
38564263,626924,5
20472,626924,2
16197305,626924,5
27494,626924,5
133498,626924,5
250757,626924,5
252646,626924,5
12225620,626924,5
604136,626924,2
22011,626924,5
194847,626924,5
314136,626924,5
363191,626924,5
621600,626924,5
4807,693430,5
229103,693430,5
278389,693430,5
252304,693430,5
13810583,693430,3
100247,693430,5
14103,693430,5
278107,693430,5
22285489,693430,2
85534,693430,5
20131,693430,1
26355171,693430,2
19733,693430,5
31629106,693430,5
22215170,693430,5
4722,693430,5
290457,693430,1
951542,693430,1
4416,693430,1
18824,693430,5
19104,693430,1
19289,693430,5
38564263,693430,1
20472,693430,5
16197305,693430,5
27494,693430,5
133498,693430,5
252646,693430,5
12225620,693430,5
22011,693430,5
194847,693430,5
314136,693430,5
363191,693430,5
621600,693430,5
626924,693430,5
4807,2330585,5
229103,2330585,5
278389,2330585,5
252304,2330585,5
13810583,2330585,5
100247,2330585,5
14103,2330585,5
278107,2330585,5
22285489,2330585,3
85534,2330585,5
20131,2330585,1
376766,2330585,1
26355171,2330585,2
19733,2330585,3
31629106,2330585,5
22215170,2330585,5
290457,2330585,3
951542,2330585,2
4416,2330585,3
18824,2330585,5
19104,2330585,1
19289,2330585,5
38564263,2330585,2
20472,2330585,5
16197305,2330585,5
27494,2330585,5
133498,2330585,5
252646,2330585,5
12225620,2330585,5
22011,2330585,5
194847,2330585,5
314136,2330585,5
363191,2330585,5
621600,2330585,5
626924,2330585,5
693430,2330585,5
4807,12225603,5
229103,12225603,5
278389,12225603,5
252304,12225603,5
13810583,12225603,1
100247,12225603,5
14103,12225603,5
278107,12225603,5
85534,12225603,5
19733,12225603,2
31629106,12225603,5
22215170,12225603,5
4722,12225603,5
4416,12225603,3
18824,12225603,5
19289,12225603,5
20472,12225603,3
16197305,12225603,4
27494,12225603,5
133498,12225603,5
252646,12225603,5
12225620,12225603,5
22011,12225603,5
194847,12225603,5
314136,12225603,5
363191,12225603,5
621600,12225603,5
626924,12225603,5
693430,12225603,5
2330585,12225603,5
4807,13793124,5
229103,13793124,5
278389,13793124,5
252304,13793124,5
13810583,13793124,5
100247,13793124,5
14103,13793124,5
278107,13793124,5
22285489,13793124,4
85534,13793124,5
20131,13793124,2
20377,13793124,3
26355171,13793124,5
19733,13793124,4
31629106,13793124,5
22215170,13793124,5
290457,13793124,4
951542,13793124,5
4416,13793124,3
18824,13793124,5
2440270,13793124,5
19104,13793124,3
19289,13793124,5
38564263,13793124,3
20472,13793124,5
16197305,13793124,5
27494,13793124,5
133498,13793124,5
252646,13793124,5
12225620,13793124,5
604136,13793124,1
22011,13793124,5
194847,13793124,5
314136,13793124,5
363191,13793124,5
621600,13793124,5
626924,13793124,5
693430,13793124,5
2330585,13793124,5
12225603,13793124,5
4807,13810580,5
229103,13810580,5
278389,13810580,5
252304,13810580,5
13810583,13810580,4
100247,13810580,5
14103,13810580,5
278107,13810580,5
22285489,13810580,2
85534,13810580,5
20131,13810580,1
26355171,13810580,1
19733,13810580,4
31629106,13810580,5
